Count,Date
4.0,11.1975
4.0,12.1975
0.0,01.1976
3.0,02.1976
6.0,03.1976
7.0,04.1976
7.0,05.1976
3.0,06.1976
2.0,07.1976
0.0,08.1976
0.0,09.1976
0.0,10.1976
0.0,11.1976
0.0,12.1976
0.0,01.1977
1.0,02.1977
11.0,03.1977
4.0,04.1977
31.0,05.1977
3.0,06.1977
2.0,07.1977
2.0,08.1977
0.0,09.1977
0.0,10.1977
0.0,11.1977
0.0,12.1977
0.0,01.1978
0.0,02.1978
0.0,03.1978
14.0,04.1978
5.0,05.1978
1.0,06.1978
0.0,07.1978
0.0,08.1978
1.0,09.1978
0.0,10.1978
0.0,11.1978
0.0,12.1978
0.0,01.1979
0.0,02.1979
5.0,03.1979
17.0,04.1979
7.0,05.1979
3.0,06.1979
2.0,07.1979
13.0,08.1979
1.0,09.1979
2.0,10.1979
1.0,11.1979
0.0,12.1979
0.0,01.1980
0.0,02.1980
3.0,03.1980
7.0,04.1980
9.0,05.1980
1.0,06.1980
0.0,07.1980
2.0,08.1980
2.0,09.1980
1.0,10.1980
0.0,11.1980
0.0,12.1980
0.0,01.1981
0.0,02.1981
1.0,03.1981
11.0,04.1981
44.0,05.1981
7.0,06.1981
5.0,07.1981
2.0,08.1981
2.0,09.1981
3.0,10.1981
1.0,11.1981
0.0,12.1981
0.0,01.1982
0.0,02.1982
11.0,03.1982
11.0,04.1982
56.0,05.1982
11.0,06.1982
1.0,07.1982
3.0,08.1982
2.0,09.1982
0.0,10.1982
2.0,11.1982
4.0,12.1982
0.0,01.1983
0.0,02.1983
4.0,03.1983
12.0,04.1983
40.0,05.1983
23.0,06.1983
2.0,07.1983
1.0,08.1983
0.0,09.1983
2.0,10.1983
8.0,11.1983
0.0,12.1983
0.0,01.1984
0.0,02.1984
6.0,03.1984
23.0,04.1984
9.0,05.1984
3.0,06.1984
0.0,07.1984
0.0,08.1984
2.0,09.1984
6.0,10.1984
1.0,11.1984
0.0,12.1984
0.0,01.1985
2.0,02.1985
5.0,03.1985
10.0,04.1985
6.0,05.1985
5.0,06.1985
1.0,07.1985
0.0,08.1985
3.0,09.1985
0.0,10.1985
4.0,11.1985
0.0,12.1985
0.0,01.1986
0.0,02.1986
2.0,03.1986
4.0,04.1986
25.0,05.1986
1.0,06.1986
0.0,07.1986
2.0,08.1986
7.0,09.1986
6.0,10.1986
0.0,11.1986
0.0,12.1986
0.0,01.1987
3.0,02.1987
9.0,03.1987
0.0,04.1987
5.0,05.1987
0.0,06.1987
1.0,07.1987
0.0,08.1987
1.0,09.1987
0.0,10.1987
4.0,11.1987
0.0,12.1987
0.0,01.1988
0.0,02.1988
5.0,03.1988
0.0,04.1988
2.0,05.1988
3.0,06.1988
0.0,07.1988
0.0,08.1988
2.0,09.1988
0.0,10.1988
5.0,11.1988
0.0,12.1988
0.0,01.1989
0.0,02.1989
2.0,03.1989
1.0,04.1989
7.0,05.1989
6.0,06.1989
0.0,07.1989
1.0,08.1989
1.0,09.1989
2.0,10.1989
0.0,11.1989
0.0,12.1989
0.0,01.1990
0.0,02.1990
10.0,03.1990
3.0,04.1990
10.0,05.1990
6.0,06.1990
1.0,07.1990
0.0,08.1990
0.0,09.1990
0.0,10.1990
0.0,11.1990
0.0,12.1990
0.0,01.1991
0.0,02.1991
17.0,03.1991
24.0,04.1991
20.0,05.1991
4.0,06.1991
1.0,07.1991
0.0,08.1991
0.0,09.1991
7.0,10.1991
0.0,11.1991
0.0,12.1991
0.0,01.1992
0.0,02.1992
2.0,03.1992
9.0,04.1992
25.0,05.1992
9.0,06.1992
2.0,07.1992
0.0,08.1992
16.0,09.1992
1.0,10.1992
0.0,11.1992
0.0,12.1992
0.0,01.1993
0.0,02.1993
6.0,03.1993
17.0,04.1993
20.0,05.1993
13.0,06.1993
0.0,07.1993
0.0,08.1993
5.0,09.1993
2.0,10.1993
1.0,11.1993
0.0,12.1993
0.0,01.1994
0.0,02.1994
1.0,03.1994
15.0,04.1994
11.0,05.1994
2.0,06.1994
6.0,07.1994
2.0,08.1994
0.0,09.1994
3.0,10.1994
0.0,11.1994
0.0,12.1994
0.0,01.1995
0.0,02.1995
2.0,03.1995
22.0,04.1995
17.0,05.1995
28.0,06.1995
6.0,07.1995
0.0,08.1995
0.0,09.1995
4.0,10.1995
0.0,11.1995
0.0,12.1995
0.0,01.1996
0.0,02.1996
1.0,03.1996
